name,description,url
SharedTable,a social dining application with web3 incentives through gamification,https://ethglobal.com/showcase/sharedtable-tr5b2
BribeHacks,Marketplace for Talent & Attention. Hackers get paid. Sponsors get signal. Everyone has fun.,https://ethglobal.com/showcase/bribehacks-okn90
LedgerKit,"LedgerKit.dev: Track funds and manage assets with your Ledger wallet, right in the browser.",https://ethglobal.com/showcase/ledgerkit-ubd60
LedgerKit,"LedgerKit.dev: Track funds and manage assets with your Ledger wallet, right in the browser.",https://ethglobal.com/showcase/ledgerkit-ubd60
autoUSD,Cross-chain USDC yield optimizer with automated rebalancing across L2 networks.,https://ethglobal.com/showcase/autousd-1p9am
Delula w/ Payments,Delula – One-Click Viral Hits w/ Instant Credit Purchases & Social Logins,https://ethglobal.com/showcase/delula-w-payments-zeuck
git-lfs-walrus,Git LFS adapter for storing large files on the Walrus decentralized storage network,https://ethglobal.com/showcase/git-lfs-walrus-jkegv
POP Subgraph,A subgrpah for a dao building tool using data source templates,https://ethglobal.com/showcase/pop-subgraph-st4uz
Chess Clash,"Your chess-conviction become tokenized battles—stake tokens, counter rivals.",https://ethglobal.com/showcase/chess-clash-2h0jq
My first stablecoin,"This is my first project in a hackathon, I am creating a stable coin",https://ethglobal.com/showcase/my-first-stablecoin-vtk3n
Arxiv Predict,Prediction market for arXiv papers. Bet if research will be validated!,https://ethglobal.com/showcase/arxiv-predict-uh7os
EZTX,EZTX is a defi one-click payments app that makes sending international payments cheap & easy,https://ethglobal.com/showcase/eztx-sf8au
Rehab DAO,"""Recover Privately, Celebrate Socially"" Empowering  addiction recovery through decentralization",https://ethglobal.com/showcase/rehab-dao-3xw23
AutoToll,"AI finds APIs, calls them, pays automatically. No keys, no setup. Just vibes and micropayments.",https://ethglobal.com/showcase/autotoll-h7u9d
JIT Saving Vault,Vault with Just-In-Time(JIT) liquidity using Uniswap v4 hooks and Aave yield saving,https://ethglobal.com/showcase/jit-saving-vault-uud5s
Commit Club,"Show up or miss out: stake to commit, check in together, win back with friends",https://ethglobal.com/showcase/commit-club-8jocu
Lumina Protocol,Cross-chain emotional messaging with commemorative NFTs via Hyperlane infrastructure,https://ethglobal.com/showcase/lumina-protocol-w3yv9
Ledger Vision,See every token you own across all wallets & chains in one secure Ledger Live Dapp.,https://ethglobal.com/showcase/ledger-vision-579jo
EazyPay,"Tap to Pay crypto payments → instant fiat. Merchants get USD, customers pay with any token.",https://ethglobal.com/showcase/eazypay-w4zm5
Liberty Files,A decentralized file-sharing platform to let creators securely monetize their digital content.,https://ethglobal.com/showcase/liberty-files-dmrii
Volatility Hook,Dynamic fee Uniswap v4 Hook using cross-chain Chainlink volatility data via LayerZero,https://ethglobal.com/showcase/volatility-hook-3xkyp
x402-flash,Supporting x402 micropayments with zero settlement latency overhead.,https://ethglobal.com/showcase/x402-flash-yj9wd
Care,Privacy-focused period tracker on Hypergraph with secure data and supportive sharing.,https://ethglobal.com/showcase/care-t9n10
miniETF,A Central Limit Order Book (CLOB) custom ETF trading system for binary markets,https://ethglobal.com/showcase/minietf-fh0bi
Aura,Cross-chain stablecoin wallet earning 4.3-20%+ yields with AI-powered strategy discovery,https://ethglobal.com/showcase/aura-qgo6c
Community Canvas,An attempt to use embedded wallets to recreate the r/place experience but on chain.,https://ethglobal.com/showcase/community-canvas-tieh2
wallet unwrapped,"Like Spotify Wrapped, where you drop your address and get a slick summary of your degeneracy.",https://ethglobal.com/showcase/wallet-unwrapped-4feyd
Crypto Cash Wallet,A Web3 wallet designed to emulate a cash-like experience helps users stay within their budget,https://ethglobal.com/showcase/crypto-cash-wallet-92qcx
Klash AI,"AI-powered trading battles on-chain. Learn crypto trading through epic duels. No risk, pure skill.",https://ethglobal.com/showcase/klash-ai-9fk3x
A Sovereign's Duty,Cosmos x/duty: enshrined Hyperlane validator set for instant interchain ops,https://ethglobal.com/showcase/a-sovereigns-duty-y7j3w
SocialSpotify,"Build collaborative playlists with social features: comments, tips and curator tokens",https://ethglobal.com/showcase/socialspotify-317v5
BlockchainUniversity,Complete blockchain education website from first-principles development ⚡,https://ethglobal.com/showcase/blockchainuniversity-d6i9t
Fitcentive,"Super app that puts you in charge of your health data - monetize, analyze, and own your health.",https://ethglobal.com/showcase/fitcentive-mptde
Zutchi,"Play. Earn. Socialize. Educate. Your digital pet, brought to life!",https://ethglobal.com/showcase/zutchi-fnsx1
ERC: D-Corporation,"D-Corp: An on-chain corporation distributing profits to capital, labor, and consumers.",https://ethglobal.com/showcase/erc-d-corporation-fw73x
RichRando,A simple practice with Candence programming language focusing on its built-in VRF,https://ethglobal.com/showcase/richrando-cq9u5
RichRando,A simple practice with Candence programming language focusing on its built-in VRF,https://ethglobal.com/showcase/richrando-cq9u5
RWA Nexus Bridge,"A hybrid cross-chain protocol for tokenizing, transferring, and settling RWAs with DeFi liquidity.",https://ethglobal.com/showcase/rwa-nexus-bridge-4j3gx
Backstage,Patreon For Zora Creator Coins: offer premium content to your top creator coin holders,https://ethglobal.com/showcase/backstage-r7ruq
Overflow,"With OVFL, PTs give upfront principal and a tradable yield stream, even bootstrapped via flash loans",https://ethglobal.com/showcase/overflow-e3bc5
ChatBounty,"Helping people gather, one bounty at a time. Decentralized, organic, fun.",https://ethglobal.com/showcase/chatbounty-oy4wt
Stamps,"Tap NFC to mint voucher NFTs, store on IPFS, and redeem discounts seamlessly.",https://ethglobal.com/showcase/stamps-m7peo
Matcha,"Matcha brings fair, fan-first ticketing to the blockchain—scalpers lose, fans win.",https://ethglobal.com/showcase/matcha-i1jcs
cCOP OnRamp with CDP,Celo Onramp App Fiat to cCOP Bridge Celo Onramp App Fiat to cCOP Bridge,https://ethglobal.com/showcase/ccop-onramp-with-cdp-eyomy
HyperPay,"HyperPay = PyUSD anywhere, powered by a composable cross-chain intent engine.",https://ethglobal.com/showcase/hyperpay-9e1ou
OpenGrid,Decentralized data exchange for smart meter usage with Chainlink-powered exchange,https://ethglobal.com/showcase/opengrid-68swe
polyswap,A uniswap based AMM allowing pooled transactions of polymarket postions.,https://ethglobal.com/showcase/polyswap-7qdeu
FailSafe Sight,"AI-powered guardrails that stop fraud, jailbreaks & manipulation before they hit your system.",https://ethglobal.com/showcase/failsafe-sight-vmoc7
Asset Passport,Web3-powered fixed asset accounting platform for SMBs to track their business assets,https://ethglobal.com/showcase/asset-passport-e9k9k
FlipFlow,Flip a coin on Flow Testnet with your wallet—see results and txs live in a sleek React UI.,https://ethglobal.com/showcase/flipflow-uqq00
FitAgent,FitAgent: AI nutrition coach rewarding healthy eating with Base VP & Flow NFTs via photo tracking,https://ethglobal.com/showcase/fitagent-d3qxx
Donatello,AI agent that helps artists mint & sell NFTs seamlessly on Opensea.,https://ethglobal.com/showcase/donatello-dvogj
Tollbooth,Tollbooth: charge bots micro-fees instead of blocking them with captchas,https://ethglobal.com/showcase/tollbooth-yoi3r
ShieldPay,Private Agentic Payments Using the x402 Payment Protocol on Aleo,https://ethglobal.com/showcase/shieldpay-1cjz4
CommitAI,Fund open-source AI via PVC-proven model blends and proportional on-chain payouts.,https://ethglobal.com/showcase/commitai-kbb39
WikiTusks,"Censorship-resistant, crowdsourced, decentralized Wiki built on Walrus",https://ethglobal.com/showcase/wikitusks-ihzce
ETHInferenceNetwork,A P2P network for AI inference with a free market for prices and per-request payments,https://ethglobal.com/showcase/ethinferencenetwork-h95in
lenz.dev,"lenz.dev: Own your filters, earn crypto, and build the future of AR creation",https://ethglobal.com/showcase/lenz-dev-r7bbr
0xcell,"0xCell is an on-chain Conway's Game of Life, built on the Circle CCTP.",https://ethglobal.com/showcase/0xcell-30rbo
TX Delay Insurance,Delay and Quarantine Insurance for EVM Transactions using RPC Proxy for non-intrusive operation,https://ethglobal.com/showcase/tx-delay-insurance-5fhae
Gigabrain,Gigabrain is an AI Agent enhancing web3 data insights with top Subgraph data analytics,https://ethglobal.com/showcase/gigabrain-wm5pf
TokenTycoon,"Explore Ethereum, DeFi and other crypto primitives in a on-chain multi-player trading card game",https://ethglobal.com/showcase/tokentycoon-hgd15
Kyma Pay,Onchain infra for instant & global GENIUS Act Compliant stablecoin payments for 10x less than Stripe,https://ethglobal.com/showcase/kyma-pay-yn65a
SimpleOffer,Smart contract backed stablecoin payments for any service through PYUSD.,https://ethglobal.com/showcase/simpleoffer-pjc6r
OmniStableRouter,OmniStableRouter is a protocol that allows cross-chain stablecoin swaps,https://ethglobal.com/showcase/omnistablerouter-ybd16
Noah,"We are a solution that ensures your crypto cant be lost no matter what happens to you, or your keys.",https://ethglobal.com/showcase/noah-hqt3x
BountyBlocks,Verifiable bounty ledger with token-agnostic payouts & privacy-preserving proofs,https://ethglobal.com/showcase/bountyblocks-tjjv6
Omnipools,AI-assisted pools with on-chain metadata and one-click Flow Actions payouts in USDC.,https://ethglobal.com/showcase/omnipools-d5u6r
drip,"Pay as you go streaming payments, flip it do it now test it",https://ethglobal.com/showcase/drip-x4xk0
drip,"Pay as you go streaming payments, flip it do it now test it",https://ethglobal.com/showcase/drip-x4xk0
Whisper,"Launch lz messaging channels across any EVM chains for omnichain AI agents — 85% easier, zero-code.",https://ethglobal.com/showcase/whisper-j8j2w
Hardhat3-Ledger,"Added ledger wallet integration to hardhat 3, enabling secure hardware transaction signing",https://ethglobal.com/showcase/hardhat3-ledger-198y7
PDFi,"When did your PDF last send a payment? PDeFi makes invoices pay on-chain, instantly, securely.",https://ethglobal.com/showcase/pdfi-z99gp
NFTBrandCollaborator,"NBC links brands & NFT artists, minting AI IP-safe ambassadors on Flow for Gen-Z.",https://ethglobal.com/showcase/nftbrandcollaborator-s8myb
AfterMint,"AfterMint: Plug-and-play SDK for post-mint NFT rewards, claim perks instantly after minting",https://ethglobal.com/showcase/aftermint-4gre8
the void,Scream Therapy on Ethereum. An immutable social media blob that pays ECHO tokens.,https://ethglobal.com/showcase/the-void-05fb0
MyLedgerWill,A WILL app on Ledger for owners to manage how the assets are to be distributed,https://ethglobal.com/showcase/myledgerwill-7bufn
StableGas Pony,⏱️ StableGas Pony: Syncing attention use with bulk group buys for gas fee optimization 🔁🌐,https://ethglobal.com/showcase/stablegas-pony-nh8m4
ClankerCatcher,"Snap, mint, and verify photos on-chain to flag AI-generated content.",https://ethglobal.com/showcase/clankercatcher-90wo6
Fluvia,Financial infrastructure for treasury management and more.,https://ethglobal.com/showcase/fluvia-4wkgv
AnyPay,"Cross-chain payment settlement app with AI analysis. Any chain, any token, any payment",https://ethglobal.com/showcase/anypay-t4xox
0pi,Generate and make agent-friendly APIs to earn USDC on usage,https://ethglobal.com/showcase/0pi-uybzg
ETHJobs.cc,Job platform where payments are held safely in escrow until work is completed and verified,https://ethglobal.com/showcase/ethjobs-cc-gx5fm
Synapse,cross chain intent solver with AI and graph integration over,https://ethglobal.com/showcase/synapse-fp8fx
LabuBank,"The perfect gift to onboard your loved ones onchain: LabuBank, your friendly crypto companion.",https://ethglobal.com/showcase/labubank-3g45u
Crypto Reputation,This project checks the reputation based on several key factors of a crypto address of interest.,https://ethglobal.com/showcase/crypto-reputation-we6ox
ABLEfid,Proof of Concept: Better yields for people with Social Securities Income,https://ethglobal.com/showcase/ablefid-0agfc
